position_id,portfolio_id,asset_id,region,exposure_value,return_rate,trade_date
311,35,57,LATAM,196703.37,0.11,19-02-2025
312,33,55,US,198742.19,0.08,01-05-2024
313,33,53,Europe,108513.2,0.09,04-08-2024
314,43,56,MENA,118118.85,0.07,19-06-2025
315,37,98,US,1156155.17,0.07,14-04-2025
316,12,9,LATAM,180290.67,0.07,03-07-2025
317,3,22,LATAM,312197.76,0.07,01-06-2024
318,1,13,Europe,301910.14,0.03,16-08-2025
319,33,89,US,19330.43,0.12,26-08-2024
320,40,48,Asia,587307.97,0.07,14-03-2024
321,10,18,US,192035.95,0.11,07-02-2024
322,43,76,LATAM,40511.32,0.07,24-05-2024
323,44,40,Europe,1281494.48,0.12,15-05-2025
324,29,17,Europe,638302.07,0.09,20-01-2024
325,13,15,Asia,155260.07,0.08,27-04-2025
326,12,15,Europe,426380.8,0.06,25-09-2025
327,31,79,Europe,1001827.59,0.1,16-02-2024
328,46,63,Europe,259195.44,0.06,05-09-2024
329,2,39,Europe,1695840.3,0.11,13-05-2024
330,50,13,Europe,40705.48,0.04,15-01-2024
331,35,81,LATAM,825135.66,0.08,25-06-2024
332,23,32,US,1504065.15,0.11,09-10-2025
333,17,9,MENA,203540.98,0.09,21-02-2024
334,26,40,Europe,3763524.29,0.08,10-11-2024
335,8,20,MENA,108644.08,0.1,09-04-2024
336,29,90,MENA,709314.9,0.11,12-04-2025
337,26,91,LATAM,436278.66,0.1,17-09-2025
338,10,85,Europe,95295.14,0.08,23-06-2024
339,26,82,MENA,343132.7,0.08,28-08-2025
340,34,77,Europe,83295.96,0.13,06-03-2024
341,41,80,Asia,70221.28,0.07,18-04-2024
342,7,73,Asia,31632.44,0.08,26-04-2024
343,4,63,Asia,739545.7,0.05,24-05-2025
344,50,76,MENA,220059.15,0.09,01-09-2025
345,45,44,Asia,5295.84,0.08,22-09-2025
346,11,38,LATAM,13381.96,0.08,13-08-2024
347,29,83,LATAM,938349.5,0.06,05-03-2024
348,36,60,MENA,1637176.4,0.03,26-07-2024
349,25,71,Europe,515990.86,0.09,12-03-2025
350,21,99,US,300323.04,0.09,11-12-2024
351,36,48,Europe,1043290.8,0.1,15-02-2025
352,10,18,Europe,1031131.74,0.07,28-11-2024
353,37,16,Europe,169519,0.07,03-05-2024
354,9,55,Europe,620272.83,0.06,12-08-2025
355,24,39,US,124875.21,0.06,12-07-2025
356,35,68,Asia,1013590.06,0.11,20-05-2024
357,49,59,Europe,212259.34,0.08,25-11-2024
358,35,89,LATAM,1069831.99,0.09,06-08-2024
359,48,96,MENA,370117.51,0.08,16-02-2024
360,36,62,MENA,1048611.84,0.07,30-08-2025
361,18,13,LATAM,367333.14,0.11,26-06-2024
362,49,81,Europe,40658.35,0.04,09-12-2024
363,39,6,US,2727870.68,0.09,05-03-2024
364,32,83,Asia,108479.22,0.09,03-05-2024
365,24,77,MENA,233549.57,0.11,07-10-2024
366,23,60,Asia,462589.16,0.07,24-05-2024
367,32,90,US,10647.89,0.08,01-03-2025
368,37,14,MENA,7672.03,0.06,21-06-2024
369,12,95,Asia,331174,0.03,13-01-2025
370,49,54,US,217672.44,0.07,20-07-2025
371,13,4,Asia,1987898.78,0.11,17-06-2024
372,23,39,Europe,159781.85,0.04,25-03-2025
373,25,72,US,105559.28,0.12,06-09-2024
374,35,25,Asia,754693.99,0.11,18-08-2025
375,41,77,Europe,567753.72,0.07,11-02-2024
376,30,32,Europe,3083.78,0.05,16-05-2024
377,17,59,US,594884.47,0.08,12-04-2024
378,49,63,LATAM,235859.35,0.08,09-10-2025
379,20,38,MENA,260951.83,0.08,19-09-2025
380,48,92,US,897509.51,0.08,20-01-2025
381,25,53,Europe,259190.73,0.07,10-06-2024
382,22,94,Europe,12791.52,0.07,17-01-2024
383,13,67,US,1069781.73,0.12,13-05-2025
384,19,28,LATAM,1888128.03,0.06,23-03-2024
385,49,3,MENA,306800.39,0.08,07-01-2024
386,36,98,Asia,1227302.62,0.11,08-01-2024
387,12,80,US,1454942.02,0.07,02-07-2024
388,41,22,MENA,201753.47,0.07,01-04-2024
389,19,96,MENA,387486.41,0.07,30-08-2025
390,12,38,Europe,493013.15,0.11,17-10-2024
391,9,72,Asia,951231.81,0.09,02-03-2025
392,7,72,US,7887.36,0.1,02-05-2025
393,28,62,Europe,207954.51,0.08,09-05-2024
394,14,57,Europe,315847.78,0.07,30-07-2024
395,31,6,LATAM,834203.43,0.08,26-05-2024
396,19,78,MENA,435785.71,0.07,04-10-2024
397,47,32,US,267637.68,0.07,19-06-2025
398,16,99,US,91665.06,0.08,06-04-2025
399,5,10,US,100673.23,0.09,25-02-2025
400,35,3,Europe,2523625.47,0.09,01-09-2024
401,12,59,LATAM,218747.92,0.07,27-06-2024
402,25,76,Asia,165270.38,0.08,17-09-2025
403,21,49,Europe,271695.46,0.07,08-02-2024
404,36,59,Asia,261853.25,0.1,02-09-2025
405,23,31,LATAM,304058.74,0.08,03-07-2024
406,16,93,MENA,181260.9,0.05,26-05-2025
407,39,69,US,2541822.27,0.04,18-09-2025
408,45,62,Asia,258703.51,0.07,31-03-2024
409,42,52,Europe,671415.34,0.09,04-10-2025
410,39,89,Asia,861041.99,0.07,04-11-2024
411,14,41,MENA,148585.97,0.06,22-12-2024
412,31,31,US,2252457.13,0.07,04-03-2025
413,5,85,Asia,114617.39,0.07,05-01-2024
414,35,84,MENA,93489.57,0.11,25-07-2025
415,23,22,Europe,107493.59,0.08,29-08-2024
416,29,4,LATAM,123278.3,0.11,15-07-2024
417,43,13,Europe,24446.38,0.08,30-04-2024
418,11,45,US,24886.92,0.04,26-06-2025
419,18,42,Europe,239578.6,0.09,07-04-2024
420,47,49,Europe,124184.47,0.08,25-09-2025
421,12,20,Europe,429846.74,0.07,05-01-2025
422,9,77,Europe,301566.96,0.1,06-07-2025
423,10,81,US,2311202.55,0.07,03-06-2025
424,44,54,MENA,376072.99,0.11,12-08-2024
425,17,36,Asia,262813.09,0.09,20-04-2025
426,38,97,LATAM,79098.26,0.08,03-10-2025
427,7,1,Asia,204159,0.09,01-08-2024
428,46,15,Asia,342421.51,0.09,10-10-2024
429,13,77,LATAM,2585595.43,0.07,24-02-2024
430,40,17,US,553532.38,0.11,17-07-2024
431,42,24,LATAM,163702.5,0.12,25-04-2024
432,9,58,US,237505.19,0.09,01-06-2024
433,50,72,Asia,364679.33,0.08,30-04-2025
434,27,91,US,19531.91,0.13,24-05-2025
435,2,23,MENA,1486792.98,0.1,29-06-2024
436,5,46,LATAM,538149.59,0.07,12-06-2024
437,29,72,MENA,178289.39,0.07,14-02-2024
438,37,8,Asia,281547.54,0.09,25-02-2024
439,38,59,LATAM,108825.65,0.06,07-01-2025
440,19,90,Asia,47799.7,0.09,18-10-2024
441,8,59,MENA,237659.76,0.15,02-08-2024
442,48,13,Asia,254708.78,0.11,21-03-2025
443,45,39,LATAM,187582.55,0.1,14-09-2024
444,1,28,LATAM,1448478.99,0.1,08-12-2024
445,22,89,Asia,405384.06,0.09,23-09-2025
446,17,61,LATAM,397467.75,0.06,09-04-2025
447,7,16,LATAM,399503.53,0.06,14-02-2024
448,25,2,Asia,15210.55,0.02,16-04-2024
449,45,82,MENA,153205.69,0.07,23-02-2024
450,4,17,LATAM,585109.58,0.07,04-07-2025
451,36,30,LATAM,483558.22,0.09,29-06-2024
452,6,13,LATAM,128549.91,0.09,10-06-2024
453,31,96,LATAM,213321.95,0.06,30-01-2024
454,19,93,Asia,173150.09,0.1,11-05-2025
455,44,94,MENA,790371.07,0.05,11-06-2025
456,39,82,MENA,39909.66,0.1,28-04-2024
457,27,13,US,376535.45,0.05,13-03-2024
458,10,43,LATAM,3400076.12,0.05,28-08-2024
459,26,85,LATAM,46542.52,0.07,31-03-2025
460,19,94,US,620219.44,0.08,29-08-2025
461,39,21,MENA,19895.03,0.1,16-08-2025
462,3,55,Europe,1286119.61,0.03,29-11-2024
463,45,81,Europe,102915.67,0.09,05-03-2025
464,13,40,MENA,885509.54,0.09,22-07-2024
465,50,83,LATAM,388678.42,0.05,29-11-2024
466,28,15,Europe,263709.29,0.04,23-08-2024
467,20,73,Asia,359541.16,0.11,22-04-2024
468,28,52,Asia,326546.68,0.09,29-11-2024
469,8,74,US,2115706.04,0.08,21-08-2024
470,41,95,MENA,929968.21,0.06,10-04-2024
471,39,53,MENA,754706.69,0.09,30-08-2024
472,1,87,Europe,762076.1,0.08,26-02-2025
473,3,52,LATAM,928286.29,0.09,23-07-2024
474,13,30,MENA,540586.1,0.1,19-01-2025
475,28,33,Europe,1467768.65,0.05,13-08-2024
476,49,57,Europe,42261.12,0.07,16-03-2024
477,25,52,MENA,376614.98,0.09,27-04-2025
478,33,9,Europe,95151.85,0.08,22-08-2025
479,38,54,US,26155.36,0.07,11-05-2025
480,6,1,US,8223.14,0.08,25-02-2024
481,44,44,MENA,403490.71,0.06,22-03-2025
482,45,99,LATAM,271670.43,0.07,28-05-2024
483,32,75,US,220508.67,0.1,09-08-2024
484,45,98,US,96591.1,0.11,16-09-2025
485,47,80,MENA,148547.8,0.07,10-04-2025
486,21,9,Asia,753437.43,0.13,01-07-2024
487,16,32,Europe,139154.99,0.09,31-01-2025
488,21,15,US,233291.51,0.05,17-01-2025
489,11,12,Asia,59696.26,0.09,19-05-2024
490,37,97,LATAM,490438.85,0.09,13-04-2025
491,36,78,Asia,515664.33,0.1,17-07-2024
492,35,57,MENA,1757800.6,0.09,09-10-2025
493,19,8,LATAM,226390.13,0.06,02-01-2025
494,20,72,LATAM,23210.18,0.1,03-10-2024
495,18,27,Asia,64537.44,0.08,26-07-2024
496,47,62,MENA,6430.22,0.08,09-12-2024
497,41,12,US,169708.92,0.05,10-05-2024
498,49,65,Asia,1271106.58,0.13,02-02-2024
499,14,42,US,739854.8,0.1,05-08-2025
500,15,62,Asia,199549.79,0.06,02-03-2024
501,31,11,US,1796616.6,0.08,14-10-2024
502,1,43,Asia,300847.75,0.11,19-05-2024
503,3,95,LATAM,45834.93,0.11,23-04-2024
504,16,17,Europe,1046262.96,0.05,21-04-2025
505,23,97,LATAM,557517.11,0.12,14-04-2025
506,11,32,US,31455.57,0.06,04-03-2025
507,12,93,MENA,556085.11,0.06,24-06-2024
508,10,85,LATAM,242183.76,0.05,17-12-2024
509,32,85,Europe,539439.85,0.09,13-08-2024
510,16,40,US,285588.34,0.08,29-10-2024
511,8,23,LATAM,1077507.95,0.1,10-09-2025
512,38,56,Asia,23640.38,0.09,09-06-2024
513,12,6,MENA,378136.84,0.05,18-09-2025
514,24,86,US,118873.83,0.09,23-06-2024
515,28,50,LATAM,206882.48,0.07,14-08-2025
516,8,37,US,564979.08,0.08,20-07-2025
517,28,64,Asia,111412.87,0.08,23-08-2024
518,36,54,Europe,1513723.77,0.07,29-03-2024
519,26,72,LATAM,877362.21,0.11,25-02-2025
520,8,49,US,1700212.73,0.1,18-06-2025
521,50,99,US,331958.01,0.06,15-05-2025
522,28,11,US,99183.94,0.1,09-08-2024
523,28,88,Europe,57188.83,0.09,28-08-2025
524,37,49,US,1051272.37,0.08,29-04-2025
525,41,21,MENA,15833.24,0.07,18-04-2025
526,36,66,MENA,644848.91,0.14,12-10-2024
527,27,63,US,1384467.07,0.11,15-01-2024
528,17,83,MENA,2700463.26,0.05,14-03-2025
529,9,28,LATAM,253547.13,0.14,09-09-2024
530,33,17,MENA,55242.06,0.12,10-09-2024
531,20,6,US,658277.2,0.09,01-12-2024
532,13,19,Asia,917664.18,0.06,20-03-2025
533,28,56,LATAM,78042.26,0.08,16-08-2025
534,48,28,Europe,212644.57,0.07,15-08-2024
535,29,66,US,79718.43,0.09,28-08-2025
536,13,38,Europe,276930.97,0.06,01-06-2024
537,46,37,Asia,256982.89,0.08,10-08-2025
538,35,68,Europe,644816.1,0.13,06-01-2024
